setting,dataset,num_samples,num_components,random_seed,skellam_mu,sigma,b,clipping_norm,q_f,q_clean,q_a
local,ca_income,195665,10,0,7,25.077,6,1.0,0.012615860763441768,0.10306451053062196,0.013060494355825502
local,ca_income,195665,25,0,7,25.077,6,1.0,0.030563762054740404,0.20037047667357455,0.013060494355825502
local,ca_income,195665,50,0,7,25.077,6,1.0,0.0608132788616164,0.3165350864583766,0.013060494355825502
local,ca_income,195665,100,0,7,25.077,6,1.0,0.12179423446402762,0.48630057394686166,0.013060494355825502
local,ca_income,195665,125,0,7,25.077,6,1.0,0.15221414512495335,0.5541624613800046,0.013060494355825502
local,ca_income,195665,250,0,7,25.077,6,1.0,0.3071688216975918,0.7723074729978476,0.013060494355825502
local,ca_income,195665,500,0,7,25.077,6,1.0,0.6124699715908906,0.9512922096686961,0.013060494355825502
local,ca_income,195665,1000,0,7,25.077,6,1.0,1.0000000401021842,1.0000000401021845,0.013060494355825502
centralized,ca_income,195665,10,0,7,25.077,6,1.0,0.08733843248391884,0.10306451053062196,0.9757790057095832
centralized,ca_income,195665,25,0,7,25.077,6,1.0,0.1494048232718586,0.20037047667357455,0.9757790057095832
centralized,ca_income,195665,50,0,7,25.077,6,1.0,0.21423690654370864,0.3165350864583766,0.9757790057095832
fl,ca_income,195665,10,0,382.3,10000,6.0,1.0,0.10308277264918797,0.10306451053062196,0.9997102211129654
centralized,ca_income,195665,100,0,7,25.077,6,1.0,0.31029881459725406,0.48630057394686166,0.9757790057095832
fl,ca_income,195665,25,0,382.3,10000,6.0,1.0,0.20037467116868513,0.20037047667357455,0.9997102211129654
centralized,ca_income,195665,125,0,7,25.077,6,1.0,0.35082171483076197,0.5541624613800046,0.9757790057095832
fl,ca_income,195665,50,0,382.3,10000,6.0,1.0,0.31649777852963673,0.3165350864583766,0.9997102211129654
centralized,ca_income,195665,250,0,7,25.077,6,1.0,0.5165476417203875,0.7723074729978476,0.9757790057095832
fl,ca_income,195665,100,0,382.3,10000,6.0,1.0,0.4861703311893162,0.48630057394686166,0.9997102211129654
centralized,ca_income,195665,500,0,7,25.077,6,1.0,0.7654100525777784,0.9512922096686961,0.9757790057095832
fl,ca_income,195665,125,0,382.3,10000,6.0,1.0,0.5539860552376532,0.5541624613800046,0.9997102211129654
centralized,ca_income,195665,1000,0,7,25.077,6,1.0,1.000000040102184,1.0000000401021845,0.9757790057095832
fl,ca_income,195665,250,0,382.3,10000,6.0,1.0,0.7717958330793511,0.7723074729978476,0.9997102211129654
fl,ca_income,195665,500,0,382.3,10000,6.0,1.0,0.9499515540776612,0.9512922096686961,0.9997102211129654
fl,ca_income,195665,1000,0,382.3,10000,6.0,1.0,1.000000040102184,1.0000000401021845,0.9997102211129654
